name,pick1,pick2,pick3,pick4,pick5,pick6,pick7,pick8
Blake Team 1,Scottie Scheffler ,Jon Rahm,Rory McIlroy,Collin Morikawa,Viktor Hovland,Sungjae Im,Max Homa,Jason Day
Blake Team 2,Scottie Scheffler ,Jon Rahm,Justin Thomas,Patrick Cantlay,Corey Conners,Will Zalatoris,Sam Burns,Adam Scott
Culver,Collin Morikawa,Will Zalatoris,Scottie Scheffler,Rory McIlroy,Xander Schauffele,Corey Conners,Kurt Kitayama,Jason Day
Drew Ross 1,Cameron Smith,Jon Rahm,Corey Conners,Scottie Scheffler,Rory McIlroy,Jordan Spieth,Dustin Johnson,Max Homa
Drew Abbott,Scottie Scheffler ,Rory McIlroy ,Jon Rahm ,Jordan Spieth ,Patrick Cantlay ,Matt Fitzpatrick,Sam Burns,Cameron Smith
Thad's Entry,Sungjae Im,Cameron Smith,Jason Day,Corey Conners,Scottie Scheffler ,Jon Rahm,Justin Thomas,Rory McIlroy
Little Boy Blue’s Picks:,Dustin Johnson,Hideki Matsuyama,Will Zalatoris,Max Homa,Collin Morikawa,Cameron Smith,Corey Conners,Patrick Cantlay
Glen/Julia's picks,Corey Conners,Rory McIlroy,Collin Morikawa,Scottie Scheffler,Jordan Spieth,Jon Rahm,Justin Thomas,Patrick Cantlay
Poolie,Scottie Scheffler,Rory McIlroy,Jon Rahm,Jordan Spieth,Patrick Cantlay,Xander Schauffele,Collin Morikawa,Viktor Hovland
Thurston,Scottie Scheffler,Jordan Spieth,Patrick Cantlay,Max Homa,Rory McIlroy,Justin Thomas,Matt Fitzpatrick,Collin Morikawa
Bell,Scottie Scheffler,Jordan Spieth,Rory McIlroy,Tony Finau,Corey Conners,Jon Rahm,Justin Thomas,Corey Conners
Gail,Scottie Scheffler,Jordan Spieth,Rory McIlroy,Tony Finau,Dustin Johnson,Tom Hoge,Will Zalatoris,Justin Thomas
Marshall,Scottie Scheffler,Rory McIlroy,Jon Rahm,Collin Morikawa,Sungjae Im,Xander Schauffele,Tyrrell Hatton,Max Homa
JoJo,Patrick Cantlay,Cameron Smith,Corey Conners,Jason Day,Tony Finau,Jordan Spieth,Justin Thomas,Mackenzie Hughes
