pos,amount
1st,4200000
2nd,2520000
3rd,1587000
4th,1120000
5th,933000
6th,840000
7th,781500
8th,723000
9th,676500
10th,630000
11th,583500
12th,537000
13th,490000
14th,443000
15th,420000
16th,396500
17th,373000
18th,350000
19th,327000
20th,303000
21st,280000
22nd,261000
23rd,243000
24th,224000
25th,205000
26th,187000
27th,180000
28th,173000
29th,166000
30th,159000
31st,152000
32nd,145000
33rd,138000
34th,132000
35th,126000
36th,120000
37th,114000
38th,110000
39th,105000
40th,100000
41st,96000
42nd,91000
43rd,86000
44th,82000
45th,77000
46th,72000
47th,68000
48th,64000
49th,61000
50th,59000
